id,name,address,city,state,zipcode,country,number_of_employees,annual_revenue,website,owner_id,phone,open_deals_amount,open_deals_count,won_deals_amount,won_deals_count,last_contacted,last_contacted_mode,facebook,twitter,linkedin,links,custom_field,created_at,updated_at,avatar,parent_sales_account_id,recent_note,last_contacted_via_sales_activity,last_contacted_sales_activity_mode,completed_sales_sequences,active_sales_sequences,last_assigned_at,is_deleted,team_user_ids,record_type_id,web_form_ids,description,note,health_score,account_tier,renewal_date,domains,tags,deal_ids
402007039237,FinVest Advisors,,,,,,,,,402000336451,,50000.0,1,0.0,0,,,,,,"{'conversations': '/crm/sales/sales_accounts/402007039237/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402007039237/document_associations', 'notes': '/crm/sales/sales_accounts/402007039237/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402007039237/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402007039237/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': 'Finance', 'cf_account_value': 75000, 'cf_region': 'Europe'}",2024-12-10T10:33:55Z,2024-12-10T10:49:58Z,,,,,,,,2024-12-10T10:33:56Z,False,[],403029678574,,,,,,,[],[],[402002591850]
402007039238,Healthline Corp,,,,,,,,,402000336451,,24456.0,1,0.0,0,,,,,,"{'conversations': '/crm/sales/sales_accounts/402007039238/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402007039238/document_associations', 'notes': '/crm/sales/sales_accounts/402007039238/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402007039238/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402007039238/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': 'Healthcare', 'cf_account_value': 100000, 'cf_region': 'Asia'}",2024-12-10T10:33:55Z,2024-12-13T21:07:35Z,,,,,,,,2024-12-10T10:33:56Z,False,[],403029678574,,,,,,,[],[],[402002591851]
402007039236,Tech Solutions,,,,,,,,,402000336451,,15000.0,1,0.0,0,,,,,,"{'conversations': '/crm/sales/sales_accounts/402007039236/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402007039236/document_associations', 'notes': '/crm/sales/sales_accounts/402007039236/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402007039236/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402007039236/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': 'Technology', 'cf_account_value': 50000, 'cf_region': 'North America'}",2024-12-10T10:33:55Z,2024-12-10T10:50:16Z,,,,,,,,2024-12-10T10:33:56Z,False,[],403029678574,,,,,,,[],[],[402002591849]
402006533752,Widgetz.io (sample),604-5854 Beckford St,Glendale,Arizona,100652,USA,1001.0,10000000.0,widgetz.io,402000336451,5036153947,5600.0,1,0.0,0,2024-12-04T12:57:53Z,Incoming email,widgetz-io,widgetz-io,widgetz-io,"{'conversations': '/crm/sales/sales_accounts/402006533752/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533752/document_associations', 'notes': '/crm/sales/sales_accounts/402006533752/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533752/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533752/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-10-18T10:38:53Z,2024-12-07T12:58:01Z,,,Widgetz.io is a large insurance company with a 100 member sales team,2024-12-07T12:58:00Z,Task,,,2024-10-18T10:38:54Z,False,[],403029678574,,,,,,,[],['High-Value'],[402002261746]
402006533757,Synth Corp (sample),876 Harmony Avenue,London,England,W1B 4BD,UK,201.0,3500000.0,synthcorp.org,402000336451,19265557654,4100.0,1,0.0,0,,,,,,"{'conversations': '/crm/sales/sales_accounts/402006533757/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533757/document_associations', 'notes': '/crm/sales/sales_accounts/402006533757/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533757/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533757/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-10-03T12:00:00Z,2024-10-18T10:39:38Z,,,,,,,,2024-10-18T10:38:55Z,False,[],403029678574,,,,,,,[],['Mid-Market'],[402002261756]
402006533754,E Corp (sample),,,,,,51.0,,ecorpsolutions.com,402000336451,,4000.0,1,0.0,0,2024-11-27T10:00:00Z,Email opened by recipient,,,,"{'conversations': '/crm/sales/sales_accounts/402006533754/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533754/document_associations', 'notes': '/crm/sales/sales_accounts/402006533754/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533754/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533754/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-10-03T12:00:00Z,2024-12-07T12:58:05Z,,,,2024-11-27T10:00:00Z,Email,,,2024-10-18T10:38:54Z,False,[],403029678574,,,,,,,[],['High-Value'],"[402002261755, 402002261754]"
402006533760,Pivotal Tech (sample),456 Innovation Avenue,Austin,Texas,75004,USA,51.0,6000000.0,pivotaltechsolutions.com,402000336451,19265556666,3500.0,1,0.0,0,,,,,,"{'conversations': '/crm/sales/sales_accounts/402006533760/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533760/document_associations', 'notes': '/crm/sales/sales_accounts/402006533760/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533760/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533760/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-09-13T12:00:00Z,2024-10-18T10:39:38Z,,,,,,,,2024-10-18T10:38:55Z,False,[],403029678574,,,,,,,[],['Small Business'],[402002261757]
402006533756,Techcave (sample), 2158 Mount Tabor,Westbury,New York,11590,USA,201.0,2500000.0,sampletechcave.com,402000336451,19266520001,3200.0,1,3000.0,1,2024-11-27T13:00:00Z,Email opened by recipient,,,,"{'conversations': '/crm/sales/sales_accounts/402006533756/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533756/document_associations', 'notes': '/crm/sales/sales_accounts/402006533756/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533756/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533756/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-09-13T12:00:00Z,2024-12-07T12:58:02Z,,,Techcave is a fast growing mid-market company that sells antivirus software,2024-12-02T11:00:00Z,Email,,,2024-10-18T10:38:55Z,False,[],403029678574,,,,,,,[],[],"[402002261747, 402002261752]"
402006533755,Acme Inc (sample),3431 Eagle Rd,Toronto,Ontario,M8Z 4H4,Canada,1.0,1000000.0,sampleacme.com,402000336451,19266343001,100.0,1,4000.0,1,2024-12-05T19:00:00Z,Incoming email,,,,"{'conversations': '/crm/sales/sales_accounts/402006533755/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533755/document_associations', 'notes': '/crm/sales/sales_accounts/402006533755/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533755/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533755/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-09-13T12:00:00Z,2024-12-07T12:58:06Z,,,Acme Inc is a Canada based apparel retailer with 5 physical stores. They also have an e-commerce website.,2024-12-05T19:00:00Z,Email,,,2024-10-18T10:38:54Z,False,[],403029678574,,,,,,,[],['Low-Value'],"[402002261748, 402002261749]"
402006533753,Optiscape Inc (sample),221 Quantum Boulevard,Palo Alto,California,90450,USA,501.0,8000000.0,optiscapeinc.com,402000336451,19265556789,0.0,0,2100.0,1,,,,,,"{'conversations': '/crm/sales/sales_accounts/402006533753/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533753/document_associations', 'notes': '/crm/sales/sales_accounts/402006533753/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533753/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533753/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-09-13T12:00:00Z,2024-10-18T10:39:37Z,,,,,,,,2024-10-18T10:38:54Z,False,[],403029678574,,,,,,,[],['Enterprise'],[402002261751]
402006533759,Apex IQ (sample),321 Apex Lane,Dallas,Texas,75003,USA,11.0,4500000.0,apexiqsolutions.com,402000336451,19265554444,0.0,0,3200.0,1,,,,,,"{'conversations': '/crm/sales/sales_accounts/402006533759/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533759/document_associations', 'notes': '/crm/sales/sales_accounts/402006533759/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533759/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533759/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-10-03T12:00:00Z,2024-10-18T10:39:37Z,,,,,,,,2024-10-18T10:38:55Z,False,[],403029678574,,,,,,,[],['Small Business'],[402002261750]
402006533758,Nexus Hub (sample),45 Synergy Street,Toronto,Ontario,M5V 2H1,Canada,1001.0,15000000.0,nexus-hub.net,402000336451,19265552345,,0,,0,,,,,,"{'conversations': '/crm/sales/sales_accounts/402006533758/conversations/all?include=email_conversation_recipients%2Ctargetable%2Cphone_number%2Cphone_caller%2Cnote%2Cuser&per_page=3', 'document_associations': '/crm/sales/sales_accounts/402006533758/document_associations', 'notes': '/crm/sales/sales_accounts/402006533758/notes?include=creater', 'tasks': '/crm/sales/sales_accounts/402006533758/tasks?include=creater,owner,updater,targetable,users,task_type', 'appointments': '/crm/sales/sales_accounts/402006533758/appointments?include=creater,owner,updater,targetable,appointment_attendees,conference,note'}","{'cf_industry': None, 'cf_account_value': None, 'cf_region': None}",2024-09-13T12:00:00Z,2024-10-18T10:39:38Z,,,,,,,,2024-10-18T10:38:55Z,False,[],403029678574,,,,,,,[],['Enterprise'],[402002261753]
